#simID stellarMass specRate absRate
m12i 68391210000.0 0.5793498404196347 7035.318663310881
m12f 82032020000.0 0.5739387117005844 8359.54470080964
m12z 21742752000.0 0.9381782753710219 3591.2472449950806
m12r 17755677000.0 1.0 3126.4685537991045
m12w 61415215000.0 0.6000838553218586 6527.771801078298
m12b 91185930000.0 0.5473431819716995 8861.813360486629
m12c 63035945000.0 0.6302714485136908 7037.322836353534
m12m 120493646000.0 0.46256883402798854 9919.90227008934
m11a_nmd 124540640.0 7.343742816070514 153.7441154241463
m11c_nmd 889197900.0 5.0214827240700055 761.0031824427602
m11q880 399238370.0 4.662131766489213 315.9676503348827
m11q7100 657607230.0 3.111244353057402 348.91049870713914
m11f_nmd 26990940000.0 0.9676075986596261 4612.524559609683
m11g_nmd 52167516000.0 0.736069120695631 6801.513426747742
m11v_nmd 1142119600.0 2.8328103986166764 553.9707939411725
m11b 48937852.0 10.271752311879743 83.7964580371617
m11d 3978249000.0 1.9921023371096016 1370.9313000712004
m11e 1459656400.0 2.698749690994129 674.4015008098454
m11h 142533820.0 5.2021131608820665 124.4932039339044
m11i 1006263500.0 2.5091551602611037 432.2358007738568
m10q 2434458.2 14.884014244749842 5.954094645416431
m10v 1753388.6 6.368785918332869 1.8475309351390412
m10w_nmd 3475385.5 14.148857026993614 8.125913320431023
m10y_nmd 22577568.0 7.476691157958807 27.803330491665907
m10z_nmd 39834790.0 11.0069742740452 73.24809964680696
Romeo 68779650000.0 0.5841880988736605 7134.247421523512
Juliet 40831080000.0 0.6987431535770524 5053.518350837847
Romulus 93200450000.0 0.5699041627421036 9430.997327611907
Remus 48224838000.0 0.7021327813780808 5997.513227577714
Thelma 75298130000.0 0.5643188078979599 7544.900877663503
Louise 27159070000.0 0.8843244871125627 4241.994368672775
