#[Fe/H]mid [Fe/H]median [Fe/H]low [Fe/H]high [Mg/Fe]median [Mg/Fe]low [Mg/Fe]high
-2.75 -2.679184 0.19551707600000023 0.13093395199999946 -0.17313004 0.27190150599999996 0.5626443507999997
-2.25 -2.1460844999999997 0.16294731600000034 0.11355769999999943 -0.31485796 0.3747273703999999 0.29599757219999995
-1.75 -1.6485386 0.18246692400000009 0.102565032 -0.23892093 0.3280756779999999 0.242914593776
-1.25 -1.1485207 0.19507089999999994 0.10463790400000006 -0.22436166 0.1817210168000001 0.18144153751999997
-0.75 -0.67371655 0.1758559904000001 0.12681701719999994 -0.13684714 0.11664315919999999 0.0879806756
-0.25 -0.079496495 0.12431072700000001 0.05519570424 0.12219606 0.10583929204 0.03854315
0.25 0.16723552 0.11933960468 0.1661902928 0.15336783 0.02634923959999999 0.016685537999999972
0.75 0.5174789799999999 0.011996683999999869 0.014118572000000107 0.14625880000000002 0.012309919600000052 0.011432022399999991
