#simID stellarMass specRate absRate
m12i 68391100000.0 0.5484967596827258 13196.0422845
m12f 82032300000.0 0.6043756440733574 17311.5400792
m12z 21742600000.0 1.2530207633452124 8971.22834322
m12r 17755500000.0 1.0 6026.013766
m12w 61415200000.0 0.778700666691065 16326.3763235
m12b 91186200000.0 0.561819512756984 17933.9003525
m12c 63036100000.0 0.6900253550696323 15038.2388614
m12m 120494000000.0 0.5176443725133095 21978.532245
m11b 48937852.0 1.5475107551698823 27.2896877681263
m11d 3978250000.0 1.3255275758015708 1783.30872289
m11e 1459640000.0 1.309801639158448 661.223012087
m11h 142534000.0 0.962845360916391 49.5761082414
m11i 1006260000.0 1.248945914832981 437.59925873
m10q 2434460.0 1.3691235522097085 1.21483491465
m10v 1753390.0 4.867125962599924 2.88526464521
m10w_nmd 3475390.0 10.666459785377082 12.3514335133
m10y_nmd 22577600.0 1.5469496623377215 12.5401755203
m10z_nmd 39834800.0 3.651161301459842 50.4680907252
m11a_nmd 124541000.0 2.814349870163743 121.485639699
m11c_nmd 889198000.0 2.1416016426919735 656.829075235
m11q 399238000.0 1.500710789172844 211.706519764
m11q7100 657607550.0 1.0435694474362216 240.46777126744243
Romeo 68779600000.0 0.4010138588793474 9807.10645596
Juliet 40831100000.0 0.7831257116550808 11265.7959283
Romulus 93200300000.0 0.5292594246240941 17269.8339258
Remus 48225000000.0 0.6579956553902 11258.107223
Thelma 75297900000.0 0.7269637376747166 18932.9918167
Louise 27159100000.0 0.7351098400622553 7023.10262598
