#simID stellarMass specRate absRate
m12i 68391100000.0 0.7791877024100754 20340.7217183
m12f 82032300000.0 0.8522356891020562 26486.6596828
m12z 21742600000.0 1.2723729019164682 9911.52279081
m12r 17755500000.0 1.0 6549.07606717
m12w 61415200000.0 1.269776896635858 28946.4488943
m12b 91186200000.0 0.8282710123345293 28699.0736579
m12c 63036100000.0 0.9814043677911568 23223.2373289
m12m 120494000000.0 0.8515972086666019 39232.5918181
m11b 48937852.0 0.29180287801183474 5.584203382676298
m11d 3978250000.0 0.9280515010600083 1356.38456578
m11e 1459640000.0 0.8223425957309247 452.418617959
m11h 142534000.0 0.321429187860603 17.9608735794
m11i 1006260000.0 0.7875499078165346 299.728256572
m10q 2434460.0 0.16795401308963065 0.16166170891
m10v 1753390.0 1.6774322008618034 1.08174118138
m10w_nmd 3475390.0 1.339241153477993 1.6759563049
m10y_nmd 22577600.0 0.4360998723166059 3.83307570046
m10z_nmd 39834800.0 0.5854446916019316 8.80221779774
m11a_nmd 124541000.0 0.6397030299945778 30.0339496384
m11c_nmd 889198000.0 0.688352262810349 229.269382905
m11q 399238000.0 0.32513876034649 49.7821743524
m11q7100 657607550.0 0.5703723660552535 142.67703628045118
Romeo 68779600000.0 0.5659789257080878 15019.3940428
Juliet 40831100000.0 0.6714568522650961 10480.1822983
Romulus 93200300000.0 0.7549192886924465 26730.8752573
Remus 48225000000.0 0.5891438499209822 10936.13978
Thelma 75297900000.0 0.9945741559171806 28123.0092936
Louise 27159100000.0 0.6447444680306993 6682.43420215
