#simID stellarMass specRate absRate
m12i 68391100000.0 0.5482010536804464 13153.5235532
m12f 82032300000.0 0.6049451429526433 17281.2875677
m12z 21742600000.0 1.255093891277849 8961.93679109
m12r 17755500000.0 1.0 6009.84670336
m12w 61415200000.0 0.7798430273329351 16306.4165755
m12b 91186200000.0 0.562603320594608 17910.6806796
m12c 63036100000.0 0.6909771754442381 15018.5644654
m12m 120494000000.0 0.5181307920972285 21940.0908011
m11b 48937852.0 1.3849899320571502 24.358559952227672
m11d 3978250000.0 1.321388362962015 1772.94506097
m11e 1459640000.0 1.288250422333887 648.75016659
m11h 142534000.0 0.890908646725433 45.7487186182
m11i 1006260000.0 1.2404709686885214 433.463751734
m10q 2434460.0 1.0956854712751252 0.96956827766
m10v 1753390.0 4.855597457617176 2.87097988813
m10w_nmd 3475390.0 8.539954285976101 9.8237078721
m10y_nmd 22577600.0 1.321818250118466 10.6838208724
m10z_nmd 39834800.0 3.0804614036183313 42.507743473
m11a_nmd 124541000.0 2.489282522185326 107.21359548
m11c_nmd 889198000.0 2.00307695760925 612.798086744
m11q 399238000.0 1.3453061156301611 189.280168682
m11q7100 657607550.0 1.0210722292596963 234.6695086421563
Romeo 68779600000.0 0.40095792344482367 9779.41843902
Juliet 40831100000.0 0.7762310422051317 11136.738083
Romulus 93200300000.0 0.5298045152370054 17241.2664821
Remus 48225000000.0 0.6522773485230445 11130.2016117
Thelma 75297900000.0 0.7280341177980896 18909.9509279
Louise 27159100000.0 0.7294993342661412 6950.76007681
