#stellarMass specRate specRateErrUp specRateErrLow
421696503.42858225 2.4071546896620966 3.3095046833198767 1.7508341139888255
749894209.3324559 2.4317168268403995 3.0696792604009886 1.9263402539216103
1333521432.163324 2.2233457264616914 2.610087098684899 1.8939085296678975
2371373705.6616554 2.2936861912782756 2.5482732774070223 2.064533812250283
4216965034.2858224 1.7498910100658578 1.9329917479275225 1.584134309105246
7498942093.324558 1.2623302802095824 1.384292927355018 1.151113109693247
13335214321.63324 1.0 1.0 1.0
23713737056.616554 0.8556299934013667 0.9134946327647606 0.8014307466615963
42169650342.85822 0.6487673718713004 0.6987052395248324 0.6023986639788682
74989420933.24559 0.6104091007417491 0.6538754019426423 0.5698322175163201
133352143216.3324 0.5005632941253737 0.5591122401655696 0.4481454588642991
237137370566.16553 0.339505645201993 0.4234615667372608 0.27219491018304814
